MODCREATOR_BASIC_COMPCONF	組件配置
MODCREATOR_BASIC_TYPE	類型
MODCREATOR_BASIC_HAIRSLOT	髮型槽
MODCREATOR_BASIC_CLOTHSLOT	服裝槽
MODCREATOR_BASIC_STUDIOSLOT	工作室物品槽
MODCREATOR_BASIC_CLOTHSTATE	服裝狀態
MODCREATOR_BASIC_ACCSLOT	配件槽
MODCREATOR_BASIC_TEXTYPE	紋理類型
MODCREATOR_BASIC_TEX	紋理
MODCREATOR_BASIC_REPARENTABLE	可重新設定父級
MODCREATOR_BASIC_PARENT	默認父級
MODCREATOR_BASIC_USAGE	用途
MODCREATOR_BASIC_SCENECONF	場景配置
MODCREATOR_BASIC_ITEMCONF	項目配置
MODCREATOR_BASIC_NAME	名稱
MODCREATOR_BASIC_DESC	描述
MODCREATOR_BASIC_ICON	圖標
MODCREATOR_BASIC_TAGS	標籤
MODCREATOR_BASIC_ADVEDIT	高級編輯
MODCREATOR_BASIC_COPY	複製
MODCREATOR_BASIC_PASTE	粘貼

MODCREATOR_BASIC_NSFWCAT	R18內容
MODCREATOR_BASIC_ISNSFW	不適合未成年人
MODCREATOR_BASIC_NSFWWARN1	任何包含R18內容的模組都必須標記爲NSFW。
MODCREATOR_BASIC_NSFWWARN2	這包括透明性暴露的衣物、裸體海報、脫衣舞場等。
MODCREATOR_BASIC_NSFWWARN3	如果遊戲在SFW模式下運行，則NSFW模組將無法使用。

MODCREATOR_BASIC_CLOTHSTATE_FULL	整體
MODCREATOR_BASIC_CLOTHSTATE_HALF	部分
MODCREATOR_BASIC_CLOTHSTATE_OFF	脫掉

MODCREATOR_BASIC_ACCSLOT_HEAD	頭
MODCREATOR_BASIC_ACCSLOT_NECK	頸
MODCREATOR_BASIC_ACCSLOT_UPPERBODY	上身
MODCREATOR_BASIC_ACCSLOT_LOWERBODY	下身
MODCREATOR_BASIC_ACCSLOT_ARMS	臂
MODCREATOR_BASIC_ACCSLOT_HANDS	手
MODCREATOR_BASIC_ACCSLOT_LEGS	腿
MODCREATOR_BASIC_ACCSLOT_FEET	腳

MODCREATOR_BASIC_CLOTHSLOT_BRA	胸罩
MODCREATOR_BASIC_CLOTHSLOT_PANTIES	內褲
MODCREATOR_BASIC_CLOTHSLOT_SOCKS	襪子
MODCREATOR_BASIC_CLOTHSLOT_STOCKINGS	絲襪
MODCREATOR_BASIC_CLOTHSLOT_SHIRT	襯衫
MODCREATOR_BASIC_CLOTHSLOT_COAT	外套
MODCREATOR_BASIC_CLOTHSLOT_ONEPIECE	連體裝
MODCREATOR_BASIC_CLOTHSLOT_SKIRT	裙子
MODCREATOR_BASIC_CLOTHSLOT_PANTS	褲子
MODCREATOR_BASIC_CLOTHSLOT_SHOES	鞋子

MODCREATOR_BASIC_STUDIOSLOT_BASICSHAPES	基礎形狀
MODCREATOR_BASIC_STUDIOSLOT_LIGHTS	燈光 
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS2D	2D效果
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS3D	3D效果
MODCREATOR_BASIC_STUDIOSLOT_SMALLOBJECTS	小物品
MODCREATOR_BASIC_STUDIOSLOT_LARGEOBJECTS	大物品
MODCREATOR_BASIC_STUDIOSLOT_MISCOBJECTS	其他物品
MODCREATOR_BASIC_STUDIOSLOT_HRELATED	H相關物品
MODCREATOR_BASIC_STUDIOSLOT_FOODRELATED	食物相關物品
MODCREATOR_BASIC_STUDIOSLOT_CHARARELATED	角色相關物品
MODCREATOR_BASIC_STUDIOSLOT_FURNITURE	傢俱
MODCREATOR_BASIC_STUDIOSLOT_BUILDINGS	建築
MODCREATOR_BASIC_STUDIOSLOT_GIMMICKS	好玩的物品

MODCREATOR_BASIC_HAIRSLOT_FRONTHAIR	前發
MODCREATOR_BASIC_HAIRSLOT_SIDEHAIR	測發
MODCREATOR_BASIC_HAIRSLOT_BACKHAIR	後發
MODCREATOR_BASIC_HAIRSLOT_EXTENSION	擴展

MODCREATOR_BASIC_TEXTYPE_FACESKIN	臉部皮膚
MODCREATOR_BASIC_TEXTYPE_BODYSKIN	身體皮膚

MODCREATOR_BASIC_TYPE_CLOTHING	服裝
MODCREATOR_BASIC_TYPE_ACCESSORY	配件
MODCREATOR_BASIC_TYPE_HAIR	髮型
MODCREATOR_BASIC_TYPE_TEXTURE	紋理

MODCREATOR_BUILDER_COMPTYPE_NULLVALUE	默認
MODCREATOR_BUILDER_COMPTYPE_NONE	解壓
MODCREATOR_BUILDER_COMPTYPE_ZSTANDARD	Zstandard
MODCREATOR_BASIC_GENDERS	支持的性別
MODCREATOR_BASIC_CLOTHSLOT_BOXERS	平角褲
MODCREATOR_BASIC_HAIRSLOT_HAIRSET	全發
MODCREATOR_BASIC_TEXTYPE_NIPPLES	乳頭
MODCREATOR_BASIC_TEXTYPE_FACEOVERLAY	臉部疊加
MODCREATOR_BASIC_TEXTYPE_BODYOVERLAY	身體疊加
MODCREATOR_BASIC_CLOTHSIM_TITLE	理模擬
MODCREATOR_BASIC_CLOTHSIM_PRESET	预设
MODCREATOR_BASIC_CLOTHSIM_PRESET_NONE	默认
MODCREATOR_BASIC_CLOTHSIM_PRESET_TAILBONESPRING	尾巴（骨弹簧）
MODCREATOR_BASIC_CLOTHSIM_PRESET_SKIRT	裙子
MODCREATOR_BASIC_CLOTHSIM_PRESET_BREASTS	胸部
MODCREATOR_BASIC_CLOTHSIM_PRESET_CAPE	披風
MODCREATOR_BASIC_CLOTHSIM_PRESET_NECKTIE	領帶
MODCREATOR_BASIC_CLOTHSIM_PRESET_HAIRSTRAINS	头发（條）
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE	骨骼對齊模式
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_NONE	無
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_ATTACHONLY	仅附著
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_FULL	完整
MODCREATOR_BASIC_CLOTHSIM_ARMATUREROOT	骨架根部
MODCREATOR_BASIC_CLOTHSIM_ENABLED	已啓用
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE	模擬類型
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONESPRING	骨骼彈簧
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONECLOTH	骨骼布料
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_MESHCLOTH	網格布料
MODCREATOR_BASIC_CLOTHSIM_USEBACKSTOP	使用反向阻擋
MODCREATOR_BASIC_CLOTHSIM_CUSTOMSKINNING	自定義蒙皮
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE	連接模式
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_LINE	線性
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_AUTOMATICMESH	自動網格
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALLOOPMESH	顺序循环网格
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALNONLOOPMESH	顺序非循环网格
MODCREATOR_BASIC_CLOTHSIM_REDUCTION	減少
MODCREATOR_BASIC_CLOTHSIM_SKINNINGBONES	蒙皮骨骼
MODCREATOR_BASIC_CLOTHSIM_ROOTBONES	根骨骼
MODCREATOR_BASIC_CLOTHSIM_PAINTMAP	繪製貼圖
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_NONE	無
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_NONE	無
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE	碰撞模式
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_NONE	無
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_POINT	點
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_EDGE	边缘
MODCREATOR_BASIC_CLOTHSIM_RADIUS	半徑
MODCREATOR_BASIC_CLOTHSIM_FRICTION	摩擦
MODCREATOR_BASIC_OVERLAYCOLOR	覆盖颜色
MODCREATOR_BASIC_TEXTYPE_LIPS	唇
MODCREATOR_BASIC_CLOTHSIM_NAME	名称
MODCREATOR_BASIC_CLOTHSIM_GENERAL	通用
MODCREATOR_BASIC_CLOTHSIM_ANIMPOSERATIO	 动画姿势比例
MODCREATOR_BASIC_CLOTHSIM_COLLISION	碰撞
MODCREATOR_BASIC_CLOTHSIM_MAXDISTRADIUS	最大距離半徑
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPNORMALALIGN	反向阻擋法線對齊
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPDIST	反向阻擋法線對齊
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPRADIUS	反向阻擋半徑
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPSTIFFNESS	反向阻擋剛度
MODCREATOR_BASIC_CLOTHSIM_FORCE	力
MODCREATOR_BASIC_CLOTHSIM_GRAVITY	重力
MODCREATOR_BASIC_CLOTHSIM_DAMPING	阻尼
MODCREATOR_BASIC_CLOTHSIM_ANGLE	角度
MODCREATOR_BASIC_CLOTHSIM_STIFFNESS	硬度
MODCREATOR_BASIC_CLOTHSIM_VELATTEN	速度衰減
MODCREATOR_BASIC_CLOTHSIM_SHAPE	形狀
MODCREATOR_BASIC_CLOTHSIM_RIGIDNESS	硬性
MODCREATOR_BASIC_CLOTHSIM_TETHER	綁定
MODCREATOR_BASIC_CLOTHSIM_INERTIA	惯性
MODCREATOR_BASIC_CLOTHSIM_WORLDINERT	全局惯性
MODCREATOR_BASIC_CLOTHSIM_LOCALINERT	局部惯性
MODCREATOR_BASIC_CLOTHSIM_SIMULATION	模拟
MODCREATOR_BASIC_CLOTHSIM_ADVCOLLISION	高级碰撞
MODCREATOR_BASIC_CLOTHSIM_RADIUSCURVE	半徑曲線
MODCREATOR_BASIC_CLOTHSIM_MAXDISTRADIUSCURVE	最大距離半徑曲线
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPDISTCURVE	向阻擋距離曲线
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPSTIFFCURVE	反向阻挡硬度曲线
MODCREATOR_BASIC_CLOTHSIM_DAMPINGCURVE	阻尼曲线
MODCREATOR_BASIC_CLOTHSIM_STIFFNESSCURVE	硬度曲线
MODCREATOR_BASIC_CLOTHSIM_RIGIDCURVE	硬性曲线
MODCREATOR_BASIC_CLOTHSIM_ANGLIMIT	角度限制
MODCREATOR_BASIC_CLOTHSIM_ANGLIMITCURVE	角度限制曲线
MODCREATOR_BASIC_CLOTHSIM_ANGLIMITSTIFFNESS	角度限制硬度
MODCREATOR_BASIC_CLOTHSIM_SPRINGSTR	弹簧强度
MODCREATOR_BASIC_CLOTHSIM_SPRINGDIST	弹簧距离
MODCREATOR_BASIC_CLOTHSIM_SPRINGNORMALDISTRATIO	弹簧法向距离比例
MODCREATOR_BASIC_CLOTHSIM_SPRINGNOISE	弹簧噪声
MODCREATOR_BASIC_FK_TITLE	FK
MODCREATOR_BASIC_FK_GENERAL	通用
MODCREATOR_BASIC_FK_GROUPNAME	組名
MODCREATOR_BASIC_FK_CHARASETTINGS	角色設定
MODCREATOR_BASIC_FK_FUTAEXCLUSIVE	扶他專用
MODCREATOR_BASIC_FK_TRANSFORMNAME	变换名称
MODCREATOR_BASIC_FK_TRANSFORM	变换
MODCREATOR_BASIC_FK_READRESTINGANG	讀取靜止角度
MODCREATOR_BASIC_FK_RESTINGANGLE	静止角度
MODCREATOR_BASIC_FK_MOVABLETARGSCA	可移動目標比例
MODCREATOR_BASIC_FK_MIRRORING	镜像
MODCREATOR_BASIC_FK_MIRRORTRANSFORM	镜像变换
MODCREATOR_BASIC_FK_MIRRORX	镜像X轴
MODCREATOR_BASIC_FK_MIRRORY	镜像Y轴
MODCREATOR_BASIC_FK_MIRRORZ	镜像Z轴
MODCREATOR_BASIC_TEXTYPE_OUTERIRIS	外虹膜
MODCREATOR_BASIC_TEXTYPE_INNERIRIS	內虹膜
MODCREATOR_BASIC_TEXTYPE_PUPIL	瞳孔
MODCREATOR_BASIC_TEXTYPE_HIGHLIGHT	高亮
MODCREATOR_BASIC_TEXTYPE_BLUSH	腮紅
MODCREATOR_BASIC_CLOTHSLOT_GLOVES	Gloves
MODCREATOR_BASIC_BLENDOFF_TITLE	Blendshape Offsets
MODCREATOR_BASIC_CLIPPINGFIX	Clipping Fix
MODCREATOR_BASIC_USECLIPPINGFIX	Use Clipping Fix
MODCREATOR_BASIC_CLIPPINGDISTANCE	Distance
MODCREATOR_BASIC_HIDEPREVIEWRENDERERS	Hide Preview Renderers
MODCREATOR_BASIC_RAYSRESOLUTION	Preview Resolution
MODCREATOR_BASIC_RAYSRESOLUTION_LOW	Low
MODCREATOR_BASIC_RAYSRESOLUTION_MEDIUM	Medium
MODCREATOR_BASIC_RAYSRESOLUTION_HIGH	High
MODCREATOR_BASIC_RAYSRESOLUTION_VERYHIGH	Very High
MODCREATOR_BASIC_PREVIEW_STATE_FULL	Preview Full State
MODCREATOR_BASIC_PREVIEW_STATE_HALF	Preview Half State
MODCREATOR_BASIC_PREVIEW_STOP	Stop Preview
MODCREATOR_BASIC_FADEDURATION	Fade Duration
MODCREATOR_BASIC_CONTAINERS	Containers
MODCREATOR_BASIC_CONTAINERTYPE	Container Type
MODCREATOR_BASIC_CONTAINERTYPE_SINGLE	Single
MODCREATOR_BASIC_CONTAINERTYPE_LINEAR	Linear
MODCREATOR_BASIC_CONTAINERTYPE_TWODIMENSIONAL	2D
MODCREATOR_BASIC_CLIPS	Clips
MODCREATOR_BASIC_THRESHOLDS	Thresholds
MODCREATOR_BASIC_POSITIONS	Positions
MODCREATOR_BASIC_PARAMNAME	Param Name
MODCREATOR_BASIC_PARAMINITVALUE	Param Initial Value
MODCREATOR_BASIC_PARAMXNAME	Param X Name
MODCREATOR_BASIC_PARAMYNAME	Param Y Name
MODCREATOR_BASIC_TYPE_BASEMESH	Base Mesh
MODCREATOR_BASIC_COMPATIBLEBASEMESHES	Compatible Base Meshes
MODCREATOR_BASIC_AVATAR	Avatar
MODCREATOR_BASIC_FACE	Face
MODCREATOR_BASIC_BODY	Body
MODCREATOR_BASIC_RENDERER	Renderer
MODCREATOR_BASIC_SUBMESH	Submesh
MODCREATOR_BASIC_EYEDATA_BLINKSHAPE_LEFT	Blink (Left) Blendshape
MODCREATOR_BASIC_EYEDATA_BLINKSHAPE_RIGHT	Blink (Right) Blendshape
MODCREATOR_BASIC_MOUTHDATA_OPENSHAPE	Open Mouth Blendshape
MODCREATOR_BASIC_POVTR	POV Transform
MODCREATOR_BASIC_FACETR	Face Transform
MODCREATOR_BASIC_COCKBONE	Cock
MODCREATOR_BASIC_BODYROOTBONE	Armature
MODCREATOR_BASIC_HEADROOTBONE	Head
MODCREATOR_BASIC_PRIVATESROOTBONE	Privates Root Bone
MODCREATOR_BASIC_EYES	Eyes
MODCREATOR_BASIC_BREASTS	Breasts
MODCREATOR_BASIC_BUTTOCKS	Buttocks
MODCREATOR_BASIC_SFWCOLLIDERS	SFW Colliders
MODCREATOR_BASIC_SHAPERENDERERS	Blendshape Renderers
MODCREATOR_BASIC_AUTOFILL	Autofill Entries
MODCREATOR_BASIC_AUTOFILLNEW	Autofill New Entries
MODCREATOR_BASIC_REMOVEINVALID	Remove Invalid Entries
MODCREATOR_BASIC_BODYPARTS	Body Parts
MODCREATOR_BASIC_ACCESSORYPARENTS	Accessory Parents
MODCREATOR_BASIC_BLENDSHAPES	Blendshapes
MODCREATOR_BASIC_DEFAULTRANGES	Set Default Ranges
MODCREATOR_BASIC_SHOWFUTA	Show when Futanari enabled
MODCREATOR_BASIC_FACE_SHAPECAT	Face Category
MODCREATOR_BASIC_BODY_SHAPECAT	Body Category
MODCREATOR_BASIC_SFWRANGE	SFW Range
MODCREATOR_BASIC_NSFWRANGE	NSFW Range
MODCREATOR_BASIC_BLENDSHAPEPRESETS	Blendshape Presets
MODCREATOR_BASIC_BODYPARTS_HEAD	Head
MODCREATOR_BASIC_BODYPARTS_NECK	Neck
MODCREATOR_BASIC_BODYPARTS_LEFTSHOULDER	Left Shoulder
MODCREATOR_BASIC_BODYPARTS_RIGHTSHOULDER	Right Shoulder
MODCREATOR_BASIC_BODYPARTS_LEFTARM	Left arm
MODCREATOR_BASIC_BODYPARTS_RIGHTARM	Right Arm
MODCREATOR_BASIC_BODYPARTS_LEFTFOREARM	Left Forearm
MODCREATOR_BASIC_BODYPARTS_RIGHTFOREARM	Right Forearm
MODCREATOR_BASIC_BODYPARTS_LEFTHAND	Left Hand
MODCREATOR_BASIC_BODYPARTS_RIGHTHAND	Right Hand
MODCREATOR_BASIC_BODYPARTS_LEFTBREAST	Left Breast
MODCREATOR_BASIC_BODYPARTS_RIGHTBREAST	Right Breast
MODCREATOR_BASIC_BODYPARTS_CHEST	Chest
MODCREATOR_BASIC_BODYPARTS_STOMACH	Stomach
MODCREATOR_BASIC_BODYPARTS_HIPS	Hips
MODCREATOR_BASIC_BODYPARTS_CROTCH	Crotch
MODCREATOR_BASIC_BODYPARTS_LEFTBUTTOCK	Left Buttock
MODCREATOR_BASIC_BODYPARTS_RIGHTBUTTOCK	Right Buttock
MODCREATOR_BASIC_BODYPARTS_LEFTTHIGH	Left Thigh
MODCREATOR_BASIC_BODYPARTS_RIGHTTHIGH	Right Thigh
MODCREATOR_BASIC_BODYPARTS_LEFTSHIN	Left Shin
MODCREATOR_BASIC_BODYPARTS_RIGHTSHIN	Right Shin
MODCREATOR_BASIC_BODYPARTS_LEFTFOOT	Left Foot
MODCREATOR_BASIC_BODYPARTS_RIGHTFOOT	Right Foot
MODCREATOR_BASIC_FACE_SHAPECAT_NONE	None
MODCREATOR_BASIC_FACE_SHAPECAT_FACE	Face
MODCREATOR_BASIC_FACE_SHAPECAT_CHEEKS	Cheeks
MODCREATOR_BASIC_FACE_SHAPECAT_EARS	Ears
MODCREATOR_BASIC_FACE_SHAPECAT_JAW	Jaw
MODCREATOR_BASIC_FACE_SHAPECAT_CHIN	Chin
MODCREATOR_BASIC_FACE_SHAPECAT_EYES	Eyes
MODCREATOR_BASIC_FACE_SHAPECAT_NOSE	Nose
MODCREATOR_BASIC_FACE_SHAPECAT_MOUTH	Mouth
MODCREATOR_BASIC_FACE_SHAPECAT_EXPRESSION	Expression
MODCREATOR_BASIC_FACE_SHAPECAT_EYEBROWS	Eyebrows
MODCREATOR_BASIC_FACE_SHAPECAT_UPPEREYELIDS	Upper Eyelids
MODCREATOR_BASIC_FACE_SHAPECAT_LOWEREYELIDS	Lower Eyelids
MODCREATOR_BASIC_BODY_SHAPECAT_NONE	None
MODCREATOR_BASIC_BODY_SHAPECAT_CHEST	Chest
MODCREATOR_BASIC_BODY_SHAPECAT_NECK	Neck
MODCREATOR_BASIC_BODY_SHAPECAT_TORSO	Torso
MODCREATOR_BASIC_BODY_SHAPECAT_WAIST	Waist
MODCREATOR_BASIC_BODY_SHAPECAT_HIPS	Hips
