MODCREATOR_BASIC_COMPCONF	Configurazione Componenti
MODCREATOR_BASIC_TYPE	Tipo
MODCREATOR_BASIC_HAIRSLOT	Slot Capelli
MODCREATOR_BASIC_CLOTHSLOT	Slot Abiti
MODCREATOR_BASIC_STUDIOSLOT	Slot Oggetti Studio
MODCREATOR_BASIC_CLOTHSTATE	Stato Abito
MODCREATOR_BASIC_ACCSLOT	Slot Accessori
MODCREATOR_BASIC_TEXTYPE	Tipo di Texture
MODCREATOR_BASIC_TEX	Texture
MODCREATOR_BASIC_REPARENTABLE	Riparentabile
MODCREATOR_BASIC_PARENT	Padre Default
MODCREATOR_BASIC_USAGE	Utilizzo
MODCREATOR_BASIC_SCENECONF	Configurazione Scena
MODCREATOR_BASIC_ITEMCONF	Configurazione Oggetto
MODCREATOR_BASIC_NAME	Nome
MODCREATOR_BASIC_DESC	Descrizione
MODCREATOR_BASIC_GENDERS	Genere supportato
MODCREATOR_BASIC_ICON	Icona
MODCREATOR_BASIC_TAGS	Tags
MODCREATOR_BASIC_ADVEDIT	Editing Avanzato
MODCREATOR_BASIC_COPY	Copia
MODCREATOR_BASIC_PASTE	Incolla
MODCREATOR_BASIC_NSFWCAT	Contenuto VM18
MODCREATOR_BASIC_ISNSFW	NSFW
MODCREATOR_BASIC_NSFWWARN1	Qualsiasi oggetto moddato che contiene contenuto VM18 deve essere marcato come NSFW.
MODCREATOR_BASIC_NSFWWARN2	Questo include abiti trasparenti/succinti, poster con nudità, strip club, ecc...
MODCREATOR_BASIC_NSFWWARN3	Gli oggetti moddati NSFW non saranno utilizzabili se il gioco sta girando in modalità SFW.
MODCREATOR_BASIC_CLOTHSTATE_FULL	Indossato
MODCREATOR_BASIC_CLOTHSTATE_HALF	Parzialmente Indossato
MODCREATOR_BASIC_CLOTHSTATE_OFF	Non Indossato
MODCREATOR_BASIC_ACCSLOT_HEAD	Testa
MODCREATOR_BASIC_ACCSLOT_NECK	Collo
MODCREATOR_BASIC_ACCSLOT_UPPERBODY	Parte superiore del corpo
MODCREATOR_BASIC_ACCSLOT_LOWERBODY	Parte inferiore del corpo
MODCREATOR_BASIC_ACCSLOT_ARMS	Braccia
MODCREATOR_BASIC_ACCSLOT_HANDS	Mani
MODCREATOR_BASIC_ACCSLOT_LEGS	Gambe
MODCREATOR_BASIC_ACCSLOT_FEET	Piedi
MODCREATOR_BASIC_CLOTHSLOT_BRA	Reggiseno
MODCREATOR_BASIC_CLOTHSLOT_PANTIES	Mutandine
MODCREATOR_BASIC_CLOTHSLOT_BOXERS	Boxers
MODCREATOR_BASIC_CLOTHSLOT_SOCKS	Calzini
MODCREATOR_BASIC_CLOTHSLOT_STOCKINGS	Calze
MODCREATOR_BASIC_CLOTHSLOT_SHIRT	Maglia
MODCREATOR_BASIC_CLOTHSLOT_COAT	Cappotto
MODCREATOR_BASIC_CLOTHSLOT_ONEPIECE	Onepiece
MODCREATOR_BASIC_CLOTHSLOT_SKIRT	Gonna
MODCREATOR_BASIC_CLOTHSLOT_PANTS	Pantaloni
MODCREATOR_BASIC_CLOTHSLOT_SHOES	Scarpe
MODCREATOR_BASIC_STUDIOSLOT_BASICSHAPES	Forme di base
MODCREATOR_BASIC_STUDIOSLOT_LIGHTS	Luci
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS2D	Effetti 2D
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS3D	Effetti 3D
MODCREATOR_BASIC_STUDIOSLOT_SMALLOBJECTS	Oggetti Piccoli
MODCREATOR_BASIC_STUDIOSLOT_LARGEOBJECTS	Oggetti Grandi
MODCREATOR_BASIC_STUDIOSLOT_MISCOBJECTS	Oggetti Vari
MODCREATOR_BASIC_STUDIOSLOT_HRELATED	Relativo ai contenuti H
MODCREATOR_BASIC_STUDIOSLOT_FOODRELATED	Relativo al Cibo
MODCREATOR_BASIC_STUDIOSLOT_CHARARELATED	Relativo ai Personaggi
MODCREATOR_BASIC_STUDIOSLOT_FURNITURE	Furniture
MODCREATOR_BASIC_STUDIOSLOT_BUILDINGS	Buildings
