TOOLTIP_CHARA	Charakter
TOOLTIP_OUTFIT	Outfit
TOOLTIP_STUDIOSCENE	Studio Szene

TOOLTIP_STUDIOWORKSPACE_TITLE	Arbeitsbereich
TOOLTIP_STUDIOWORKSPACE_CLEAR	Entferne alle Objekte
TOOLTIP_STUDIOWORKSPACE_REMOVE	Entferne ausgewählte Objekte
TOOLTIP_STUDIOWORKSPACE_CUT	Objekt ausschneiden
TOOLTIP_STUDIOWORKSPACE_COPY	Objekt kopieren
TOOLTIP_STUDIOWORKSPACE_DUPLICATE	Objekt duplizieren
TOOLTIP_STUDIOWORKSPACE_PASTE	Objekt Einfügen
TOOLTIP_STUDIOWORKSPACE_RENAME	Objekt umbenennen
TOOLTIP_STUDIOWORKSPACE_FOLDER	Ordner erstellen
TOOLTIP_STUDIOWORKSPACE_ADDCHARA	Charakter hinzufügen
TOOLTIP_STUDIOWORKSPACE_EDITCHARA	Charakter editieren
TOOLTIP_CAMERA_TITLE	Kamera
TOOLTIP_CAMERA_ADD	Neue Kamera hinzufügen
TOOLTIP_CAMERA_CLEAR	Alle Kameras entfernen
TOOLTIP_CAMERA_SAVE	Für ausgewählte Kamera sichern
TOOLTIP_CAMERA_APPLY	Auf ausgewählte Kamera anwenden
TOOLTIP_CAMERA_REMOVE	Ausgewählte Kamera entfernen
TOOLTIP_POSE	Pose
TOOLTIP_STUDIOWORKSPACE_TEXT	Text erstellen
